id,title,description,provider,delivery_mode,cost_gbp,cost_category,duration,duration_category,access,education_outcome,target_audience,category,sub_theme,url,asset_category,review_status,image_url
156,Basic Awareness of Substances and Mental Health,"Aim:

To increase confidence and skills in the identification of substance use and links to mild/low level Mental Health.

Objectives:


To explore good practice when working with co-occurring issues
To gain an understanding of a variety of substances that are used and misused.
To look at what factors contribute to Mental Health issues?
Initial Steps- Guided self help
To review harm reduction around substance use.
To increase awareness of the types of support that individuals and their families can access in Leeds",Forward Leeds,Online,0,Free,3 hours,Less than a day,Register on website,Not Applicable,"[""All""]","[""Health Inclusion Groups"", ""Mental Health Conditions""]","[""Alcohol and/or Drugs""]",https://www.forwardleeds.co.uk/get-help/training/introduction-to-substance-use-and-mental-health/,"[""Course""]",Approved,
157,Barriers to homelessness advice and support,"Learn about the barriers faced by homeless people who approach a local authority for help, and consider how to reduce these barriers.
Barriers to homelessness advice and support",Shelter,Online,0,Free,90 mins,Less than a day,Register on website,CPD Credits,"[""Leeds City Council""]","[""Health Inclusion Groups""]","[""Homelessness""]",https://england.shelter.org.uk/professional_resources/shelter_training/homelessness_applications/barriers_to_homelessness_advice_course,"[""Course""]",Approved,
158,Banter in the Workplace,"This course will give a better understanding of:

the nature of workplace banter
the importance of respect at work
when workplace banter can be unlawful
the risk of discrimination, bullying and harassment claims arising from inappropriate banter
what organisations can do to prevent banter from becoming a problem in the workplace.",Leeds Health and Care Academy,Online or Face to Face,0,Free,30-60 mins,Less than an hour,Register on website,Certificate of completion,"[""All""]","[""Workforce""]","[""Inclusion""]",https://leedshealthandcarelearningportal.org/enrol/index.php?id=65,"[""Course""]",Approved,
159,Award in Supporting Climate-related Behaviour Change,"By completing this course, you will come away with practical, actionable understanding of how to support climate-related behaviour change, including:

Understand the key features of the climate emergency and its impact on health
Understand how effective communication can support the delivery of messages around climate-related behaviour change
Know how to promote climate-related behaviour change
Understand how to support individuals and communities to undertake climate-related behaviour change",Royal Society for Public Health,Online,64,Paid,NA,Less than a day,Register on website,CPD Credits,"[""All""]","[""Environmental Health"", ""Health Promotion"", ""Health Protection""]","[""Behaviour Change""]",https://www.rsph.org.uk/qualifications-training/online-courses/level-2-award-in-supporting-climate-related-behaviour-change/,"[""Course""]",Approved,
160,Awaab's law: hazards in social housing,"This course covers how Awaab's law will affect social landlords' legal responsibilities to ensure safe housing conditions, manage hazards and meet new electrical safety requirements.",Shelter,Online or Face to Face,90,Paid,2 hours,Less than a day,Register on website,CPD Credits,"[""Leeds City Council""]","[""Wider social determinants of Health""]","[""Housing""]",https://england.shelter.org.uk/professional_resources/shelter_training/housing_conditions/awaabs_law_hazards_social_housing_course,"[""Course""]",Approved,
161,"Autism, Self-Harm & Mental Health","For professionals, the training offers in-depth insight into autism, self-harm and mental health, helping to build understanding and practical approaches to supporting autistic people in a holistic, person-centred, trauma-informed way. It includes:

what causes autism and how it presents
pros and cons of getting an autism diagnosis
support needs, masking, and managing sensory overload
why autistic people are at higher risk of experiencing mental health challenges and self-harm (including eating disorders)
autism and LGBT+",Battle Scars,Online or Face to Face,0,Various,3.5 hours,Less than a day,Register on website,Certificate of completion,"[""All""]","[""Autism and Learning Disabilities"", ""Mental Health Conditions""]","[""Self Harm""]",https://www.battle-scars-self-harm.org.uk/autism-self-harm--mental-health.html,"[""Course""]",Approved,
162,Autism in inclusion health,"Autism in inclusion health
There is increasing evidence that autistic people are likely to be in inclusion health groups at a higher proportion than they are in the general population, and that they face a lack of understanding from staff. They also face significant additional barriers to accessing appropriate care alongside a high level of physical and mental health need.",Fairhealth,Online,0,Free,60 mins,0,Register on website,Certificate of completion,"[""All""]","[""Health Inclusion Groups""]","[""Autism""]",https://www.fairhealth.org.uk/course/autism,"[""Course""]",Approved,
163,All Our Health: Vulnerabilities and trauma-informed practice,"This is a bite-sized session to give health and care professionals an overview of vulnerabilities across the life course - including key evidence, data and signposting to trusted resources to help prevent illness, protect health and promote wellbeing.
Vulnerabilities, risk factor, protective factor, vulnerable background, trauma, trauma-informed practice, support
&nbsp;",eLfH,Online,0,Free,>1 hour,Less than an hour,Register for an eLfH account,Not Applicable,"[""All""]","[""Communication""]","[""Adversity"", ""Resilience"", ""Trauma""]",https://portal.e-lfh.org.uk/Component/Details/748874,"[""Course""]",Approved,
164,Asylum Seekers/Refugees,"Solace’s eLearning courses are a culmination of over 15 years of practice supporting asylum seekers with their wellbeing and mental health.
Refugees.",Solace,Online,0,Free,30 mins,Less than an hour,Register on website,Not Applicable,"[""All""]","[""Health Inclusion Groups""]","[""Asylum Seekers"", ""Refugees""]",https://www.solace-uk.org.uk/training,"[""Course""]",Approved,
165,Assured shorthold tenancies: section 21 notices,Learn how a landlord can end an assured shorthold tenancy (AST) by serving the tenant with a section 21 notice.,Shelter,Online,0,Free,90 mins,Less than a day,Register on website,CPD Credits,"[""Leeds City Council""]","[""Wider social determinants of Health""]","[""Housing""]",https://england.shelter.org.uk/professional_resources/shelter_training/possession_and_eviction/assured_shorthold_tenancies_section_21_course,"[""Course""]",Approved,
166,Assisting non UK nationals with homeless assistance,Learn about what homelessness assistance might be provided for non UK nationals with no recourse to public funds (NRPF).,Shelter,Online,0,Free,90 mins,Less than a day,Register on website,CPD Credits,"[""Leeds City Council""]","[""Health Inclusion Groups""]","[""Homelessness"", ""Migrants""]",https://england.shelter.org.uk/professional_resources/shelter_training/homelessness_applications/assisting_non_uk_nationals_course,"[""Course""]",Approved,
167,Assertiveness,"Assertiveness

This course will provide staff with the skills needed to confidently ask for what they want and disagree with others while staying assertive.
You’ll learn practical strategies to increase the effectiveness of working relationships by becoming more assertive.",Shelter,Online,110,Paid,half day,Less than a day,Register on website,CPD Credits,"[""All""]","[""Communication""]","[""0""]",https://england.shelter.org.uk/professional_resources/shelter_training/professional_skills/assertiveness_course,"[""Course""]",Approved,
168,"An introduction to Stress & Trauma, Vicarious Trauma and Vicarious Resilience","To understand stress &amp; trauma and how it can impact us
To define vicarious trauma, compassion fatigue, burnout, resilience and vicarious resilience
To identify risk factors for developing vicarious trauma
To identify strategies that enhance both personal and professional resilience",Solace,Online or Face to Face,0,Paid,2.5 hours,Less than a day,Register on website,Certificate of completion,"[""All""]","[""Health Inclusion Groups""]","[""Asylum Seekers"", ""Refugees""]",https://www.solace-uk.org.uk/training/specialist_training/wellbeing-at-work-an-introduction-to-stress-trauma-vicarious-trauma-and-vicarious-resilience,"[""Course""]",Approved,
169,An Introduction to Intersectionality,"An Introduction to Intersectionality

How personal characteristics such as our race, social class, sex or religion intersect to produce multiple and overlapping forms of bias and discrimination
What we mean by the term ‘privilege’ and why it is intersectional
The key benefits for organisations and employers of taking an intersectional approach
How to collect and analyse data in a way that supports the application of an intersectional lens
How to take an intersectional approach to diversity and inclusion practice.",Leeds Health and Care Academy,Online or Face to Face,0,Free,30-60 mins,Less than an hour,Register on website,Certificate of completion,"[""All""]","[""Workforce""]","[""Inclusion""]",https://leedshealthandcarelearningportal.org/course/view.php?id=107,"[""Course""]",Approved,
170,An introduction to inclusion health,"Inclusion health is a service, research, and policy agenda that seeks to address health inequalities among groups of patients who experience social exclusion. Some of these patients will have multiple risk factors for poor health, such as poverty, violence and complex trauma, and/or will have experienced stigma and discrimination. This can lead to poor health outcomes. This module will help you to understand what inclusion health is, the factors that cause exclusion, and the practical actions that you and your practice can take to improve care for these patients. Much of the module is based on the public health document ‘Inclusion Health: applying All Our Health’, a link to which is in the references section.",Royal College of General Practitioners Learning,Online,0,Free,30 mins,Less than an hour,Register on website,CPD Credits,"[""Doctor"", ""Dentist""]","[""Health Inclusion Groups""]","[""Health Inclusion""]",https://elearning.rcgp.org.uk/enrol/index.php?id=633,"[""Course""]",Approved,
171,Allyship,"This module focuses on allyship and bystander intervention in racism and racial discrimination. It offers an opportunity to think about language as well as actions that can overtly or covertly lead to exclusion of patients, colleagues and citizens. It is an action-orientated module, that moves on from describing patterns and impact of racism to offering tools to maximise recognition of potentially harmful situation or interaction and enabling a response that could positively influence outcomes",Royal College of General Practitioners Learning,Online,0,Free,45 mins,Less than an hour,Register on website,CPD Credits,"[""All""]","[""Communication"", ""Compassion"", ""Coordination""]","[""Allyship""]",https://elearning.rcgp.org.uk/course/view.php?id=559,"[""Course""]",Approved,
172,Allyship,"Allyship

The different minority and marginalised groups to whom we can be allies
What it means to be an effective and inclusive ally
The importance of awareness, empathy, action and authenticity when acting as an ally
The different actions that allies can take to support people from minority or marginalised groups
How to use the ‘Open The Front Door’ communication framework to challenge inappropriate behaviour
The importance of taking on board feedback and learning from our mistakes when being an ally.

Compassion.",Leeds Health and Care Academy,Online,0,Free,45 mins,Less than an hour,Register on website,CPD Credits,"[""All""]","[""Communication"", ""Compassion"", ""Coordination""]","[""Allyship""]",https://elearning.rcgp.org.uk/course/view.php?id=559,"[""Course""]",Approved,
173,All Our Health: Workplace Health,"This is a bite-sized session to give health and care professionals an overview of social workplace health - including key evidence, data and signposting to trusted resources to help prevent illness, protect health and promote wellbeing
Employment, unemployment work, workplace heath, mental health, wellbeing, worklessness, physical health, musculoskeletal health, MSK, workplace injuries, workforce, NEET, working age adults,work as a health outcome, good work",eLfH,Online,0,Free,>1 hour,Less than an hour,Register for an eLfH account,Not Applicable,"[""All""]","[""Health and Wellbeing"", ""Health Prevention"", ""Health Promotion"", ""Health Protection""]","[""Workplace Health""]",https://portal.e-lfh.org.uk/Component/Details/587501,"[""Course""]",Approved,
174,"All Our Health: Speech, Language and Communication",Early years speech and language,eLfH,Online,0,Free,>1 hour,Less than an hour,Register for an eLfH account,Not Applicable,"[""All""]","[""Communication""]","[""Communication""]",https://portal.e-lfh.org.uk/Component/Details/683670,"[""Course""]",Approved,
175,All Our Health: Social Prescribing,"This is a bite-sized session to give health and care professionals an overview of social prescribing - including key evidence, data and signposts to trusted resources to help prevent illness, protect health and promote wellbeing
Intervention, health, professional, staff, social prescribing, wellbeing, resilience, community, loneliness, social isolation, inequalities, holistic, patients, carers, social network, local services, referral, link workers, healthy lifestyle, groups, making every contact count, support, personalised care, community centred, non-clinical, community assets, asset based community development",eLfH,Online,0,Free,>1 hour,Less than an hour,Register for an eLfH account,Not Applicable,"[""All""]","[""Health Prevention"", ""Health Promotion""]","[""Social Prescribing""]",https://portal.e-lfh.org.uk/Component/Details/571333,"[""Course""]",Approved,
176,All Our Health: Smoking and Tobacco,"This is a bite-sized session to give health and care professionals an overview of smoking and tobacco - including key evidence, data and signposting to trusted resources to help prevent illness, protect health and promote wellbeing.
Cancer, respiratory disease, cardiovascular disease, Type 2 diabetes, dementia, healthy living, patients, inequalities, smoking, smokers, tobacco addiction, brief advice, quitting, quit, stop smoking service, nicotine, nicotine replacement therapy, NRT, e-cigarette, vape, vaping, pregnant, pregnancy, mental health, CQUIN prevention, Long Term Plan, LTP, smokefree, smoke-free, Very Brief Advice, VBA",eLfH,Online,0,Free,>1 hour,Less than an hour,Register for an eLfH account,Not Applicable,"[""All""]","[""Health Prevention"", ""Health Promotion""]","[""Smoking"", ""Tobacco""]",https://portal.e-lfh.org.uk/Component/Details/596376,"[""Course""]",Approved,
177,All Our Health: Sexual and Reproductive Health and HIV,"This is a bite-sized session to give health and care professionals an overview of sexual and reproductive health and HIV - including key evidence, data and signposting to trusted resources to help prevent illness, protect health and promote wellbeing.
Good practice, Health, patients, Health and care professional, advice, Information, sexual health, reproductive health, HIV, relationships, STIs, sexually transmitted infections, abortion, pregnancy, unplanned pregnancy, Infertility, teenage pregnancy, teenage parents, condoms, contraception, syphilis, chlamydia, gonorrhoea, cervical cancer, genital cancers, hepatitis, genital herpes, genital warts, pelvic inflammatory disease, PID, relationships and sex education, RSE, maternity, midwives, midwifery, maternity support worker, MSW, neonatal",eLfH,Online,0,Free,>1 hour,Less than an hour,Register for an eLfH account,Not Applicable,"[""All""]","[""Health conditions"", ""Health Promotion""]","[""GUM"", ""HIV"", ""Sexual and reproductive health""]",https://portal.e-lfh.org.uk/Component/Details/643010,"[""Course""]",Approved,
178,All Our Health: Population Screening,"This is a bite-sized session to give health and care professionals an overview of population screening - including key evidence, data and signposting to trusted resources to help prevent illness, protect health and promote wellbeing.
Population, screening, cervical, bowel, breast, sickle cell, antenatal, newborn, thalassaemia, down's, edward's, patau, syndrome, hearing, blood spot, HIV, AAA, HPV, eye, YPA, ANNB, diabetic, infectious,fetal anomaly, infant, physical examination, newborn",eLfH,Online,0,Free,>1 hour,Less than an hour,Register for an eLfH account,Not Applicable,"[""All""]","[""Health Prevention""]","[""Screening""]",https://portal.e-lfh.org.uk/Component/Details/675218,"[""Course""]",Approved,
179,All Our Health: Physical Activity,"This is a bite-sized session to give health and care professionals an overview of physical activity - including key evidence, data and signposts to trusted resources to help prevent illness, protect health and promote wellbeing
BMI, active, activity, adult, behaviour, chronic, communities, conditions, course, disease, evidence, exercise, fitness, front-line, frontline, health, healthcare, healthy, impact, inactivity, leader, living, local, long, long-term, manager, mental, obese, obesity, patients, physical, professional, sedentary, staff, staying, strategic, term, weight, wellbeing",eLfH,Online,0,Free,>1 hour,Less than an hour,Register for an eLfH account,Not Applicable,"[""All""]","[""Health Prevention"", ""Health Promotion""]","[""Adult Obesity""]",https://portal.e-lfh.org.uk/Component/Details/571297,"[""Course""]",Approved,
180,All Our Health: NHS Health Check,"This is a bite-sized session to give health and care professionals an overview of the NHS Health Check - including key evidence, data and signposting to trusted resources to help prevent illness, protect health and promote wellbeing.
CVD, NHS, cancer, cardiovascular, check, dementia, diabetes, disease, factors, front-line professional, health, identification, identify, intervene, intervention, kidney, non-communicable, prevent, preventable, risk, stroke, vascular, wellbeing",eLfH,Online,0,Free,>1 hour,Less than an hour,Register for an eLfH account,Not Applicable,"[""All""]","[""Health Prevention"", ""Health Promotion""]","[""0""]",https://portal.e-lfh.org.uk/Component/Details/596370,"[""Course""]",Approved,
181,All Our Health: Musculoskeletal Health,"This is a bite-sized session to give health and care professionals an overview of musculoskeletal health - including key evidence, data and signposting to trusted resources to help prevent illness, protect health and promote wellbeing.
Musculoskeletal health, musculoskeletal Conditions, MSK, healthy aging, wellbeing, older adults, falls, falls prevention, physical activity, exercise, bones, joints, muscles, pain, disability, back pain, osteoarthritis arthritis rheumatoid arthritis, osteoporosis, fractures, sickness absence, comorbidities, smoking mental wellbeing, work and health",eLfH,Online,0,Free,>1 hour,Less than an hour,Register for an eLfH account,Not Applicable,"[""All""]","[""Health Prevention"", ""Health Promotion""]","[""Ageing""]",https://portal.e-lfh.org.uk/Component/Details/605883,"[""Course""]",Approved,
182,All Our Health: Misuse of illicit Drugs and Medicines,"This is a bite-sized session to give health and care professionals an overview of misuse of illicit drugs and medicines - including key evidence, data and signposting to trusted resources to help prevent illness, protect health and promote wellbeing.
Good practice, health, patients, professional, advice, information, drugs, illicit, illegal, recreational, screening, brief interventions, substance, crack, heroin, cocaine, cannabis, SCRAs, spice, ecstasy, misuse, abuse, harm, treatment, prevention, harm reduction, reduce, medicine",eLfH,Online,0,Free,>1 hour,Less than an hour,Register for an eLfH account,Not Applicable,"[""All""]","[""Health Inclusion Groups""]","[""Illicit Drugs"", ""Substance Misuse""]",https://portal.e-lfh.org.uk/Component/Details/596367,"[""Course""]",Approved,
183,All Our Health: Mental Health and Wellbeing,"This is a bite-sized session to give health and care professionals an overview of mental health and wellbeing - including key evidence, data and signposting to trusted resources to help prevent illness, protect health and promote wellbeing.
Wellbeing, mental health, psychology, psychological, emotional. resilience, mental wellbeing, inequalities, prevention, front line, professional, mental health disorder, mental illness, anxiety, depression, severe mental illness, SMI, schizophrenia, bipolar disorder, suicide, suicide prevention, stigma, prevention concordat, self-harm, physical health",eLfH,Online,0,Free,>1 hour,Less than an hour,Register for an eLfH account,Not Applicable,"[""All""]","[""Health Prevention"", ""Health Promotion""]","[""Mental Health""]",https://portal.e-lfh.org.uk/Component/Details/587402,"[""Course""]",Approved,
184,All Our Health: Learning disability,"This is a bite-sized session to give health and care professionals and the wider public health workforce an overview of learning disability - including key evidence, data and signposting to trusted resources to help prevent illness, protect health and promote wellbeing.
Learning disability, ADHD, dyslexia, learning difficulty, neurological disorders, human rights, health inequality",eLfH,Online,0,Free,>1 hour,Less than an hour,Register for an eLfH account,Not Applicable,"[""All""]","[""Health Prevention"", ""Health Promotion""]","[""Learning Disability"", ""Neurodivergence""]",https://portal.e-lfh.org.uk/Component/Details/809308,"[""Course""]",Approved,
185,All Our Health: Inclusion Health,"This is a bite-sized session to give health and care professionals an overview of inclusion health - including key evidence, data and signposting to trusted resources to help prevent illness, protect health and promote wellbeing
Inclusion, health, social, exclusion, homelessness, migrants, gypsy, traveller communities, sex workers, modern slavery, drug, alcohol",eLfH,Online,0,Free,>1 hour,Less than an hour,Register for an eLfH account,Not Applicable,"[""All""]","[""Health Inclusion Groups""]","[""Health Inclusion""]",https://portal.e-lfh.org.uk/Component/Details/688646,"[""Course""]",Approved,
186,All Our Health: Immunisation,"This is a bite-sized session to give health and care professionals an overview of immunisation - including key evidence, data and signposting to trusted resources to help prevent illness, protect health and promote wellbeing.
Front-line, professional, vaccines, vaccination, immunisation, childhood immunisation programme, adulthood vaccine, pregnancy, school, adolescence, measles, pertussis, whooping cough, Influenza, flu, HPV, MenACWY, meningitis",eLfH,Online,0,Free,>1 hour,Less than an hour,Register for an eLfH account,Not Applicable,"[""All""]","[""Health Prevention""]","[""Immunisations"", ""Vaccines""]",https://portal.e-lfh.org.uk/Component/Details/605892,"[""Course""]",Approved,
187,All Our Health: Homelessness,"This is a bite-sized session to give health and care professionals an overview of homelessness - including key evidence, data and signposts to trusted resources to help prevent illness, protect health and promote wellbeing.
Intervention, health, professional, homelessness, homelessness prevention, homeless, rough sleeping, rough Sleeping Strategy, housing, accommodation, poverty, inequality, unemployment drug, drugs, alcohol substance misuse, physical health, domestic abuse, mental health, wellbeing, Homelessness Reduction Act, duty to refer, Personalised Housing plans, inclusion health",eLfH,Online,0,Free,>1 hour,Less than an hour,Register for an eLfH account,Not Applicable,"[""All""]","[""Health Inclusion Groups""]","[""Homelessness""]",https://portal.e-lfh.org.uk/Component/Details/571225,"[""Course""]",Approved,
188,All Our Health: Healthy eating,"This is a bite-sized session to give health and care professionals an overview of healthy eating - including key evidence, data and signposting to trusted resources to help prevent illness, protect health and promote wellbeing
Healthy, eating, balanced diet, dietary recommendations, Eatwell Guide, Hydration, Alcohol, 5-a-day, vitamins, minerals, supplements, plant-based diet",eLfH,Online,0,Free,>1 hour,Less than an hour,Register for an eLfH account,Not Applicable,"[""All""]","[""Health Prevention"", ""Health Promotion""]","[""Healthy Eating""]",https://portal.e-lfh.org.uk/Component/Details/799923,"[""Course""]",Approved,
189,All Our Health: Healthy Ageing,"This is a bite-sized session to give health and care professionals an overview of Healthy Ageing - including key evidence, data and signposting to trusted resources to help prevent injury, protect health and promote wellbeing.
Healthy ageing, life expectancy, years with disability, productive healthy ageing, support",eLfH,Online,0,Free,>1 hour,Less than an hour,Register for an eLfH account,Not Applicable,"[""All""]","[""Health Prevention"", ""Health Promotion""]","[""Ageing""]",https://portal.e-lfh.org.uk/Component/Details/748420,"[""Course""]",Approved,
190,All Our Health: Health disparities and health inequalities,"All Our Health: Health disparities and health inequalities
This is a bite-sized session to give health and care professionals an overview of health disparities and health inequalities - including key evidence, data and signposting to trusted resources to help prevent illness, protect health and promote wellbeing.
Health disparities, health inequalities, equality, equity, place-based approaches, communities, community-centred approaches, system, scale, collaboration",eLfH,Online,0,Free,>1 hour,Less than an hour,Register for an eLfH account,Not Applicable,"[""All""]","[""Health Prevention"", ""Health Promotion""]","[""health Inequalities""]",https://portal.e-lfh.org.uk/Component/Details/778744,"[""Course""]",Approved,
191,All Our Health: Financial wellbeing,"All Our Health: Financial wellbeing
This is a bite-sized session to give health and care professionals an overview of financial wellbeing - including key evidence, data and signposting to trusted resources to help prevent illness, protect health and promote wellbeing.
Financial, wellbeing, health inequality, income, employment",eLfH,Online,0,Free,>1 hour,Less than an hour,Register for an eLfH account,Not Applicable,"[""All""]","[""Health Prevention"", ""Health Promotion""]","[""Financial Wellbeing"", ""Poverty""]",https://portal.e-lfh.org.uk/Component/Details/783373,"[""Course""]",Approved,
192,All Our Health: Falls and Fractures,"All Our Health: Falls and Fractures
This is a bite-sized session to give health and care professionals an overview of falls and fractures - including key evidence, data and signposting to trusted resources to help prevent illness, protect health and promote wellbeing.
Falls, fractures, prevention, strength and balance, exercise, consensus statement, hip fracture, osteoporosis, front line, managers, healthcare professional, home hazards. Polypharmacy, older people. Environment, injury, visual impairment, fragility fracture, muscle weakness, fracture liaison services, occupational health, physical activity, physiotherapy, healthy homes, gait, multifactorial",eLfH,Online,0,Free,>1 hour,Less than an hour,Register for an eLfH account,Not Applicable,"[""All""]","[""Health Prevention"", ""Health Promotion""]","[""Falls"", ""Fractures""]",https://portal.e-lfh.org.uk/Component/Details/605805,"[""Course""]",Approved,
193,All Our Health: Dementia,"All Our Health: Dementia
This is a bite-sized session to give health and care professionals an overview of dementia - including key evidence, data and signposting to trusted resources to help prevent illness, protect health and promote wellbeing.
Dementia, Alzheimer, urinary, respiratory, pneumonia, disability, cognitive, learning capacity, memory loss, brain diseases, physically active, ageing, healthily, healthy weight, smoking, brain cells, proteins, age, older, mixed",eLfH,Online,0,Free,>1 hour,0,Register for an eLfH account,Not Applicable,"[""All""]","[""Health Prevention"", ""Health Promotion""]","[""Dementia""]",https://portal.e-lfh.org.uk/Component/Details/605808,"[""Course""]",Approved,
194,All Our Health: Climate change,"All Our Health: Climate change
This is a bite-sized session to give health and care professionals an overview of climate and health - including key evidence, data and signposting to trusted resources to help prevent illness, protect health and promote wellbeing.
Climate, global warming, nature, environment, biodiversity, food, water, air, greenhouse gas, carbon dioxide, energy, plastic, fossil fuel, coal, oil, emissions, mitigation, adaptation, drought, flood, extreme weather, heatwave, infectious disease, conflict, migration, resilience, physical activity, obesity, active travel, housing, insulation, cold homes, fuel poverty, public transportation, walking, cycling, air pollution, child, plant-based, green space, nature, wellbeing, loneliness, inequalities, social prescribing, elderly, Paris, net zero, recycle, empowerment, NHS, cardiovascular, respiratory, cancer, diabetes, mental health, smoking, alcohol",eLfH,Online,0,Free,>1 hour,Less than an hour,Register for an eLfH account,Not Applicable,"[""All""]","[""Health Prevention"", ""Health Promotion""]","[""Climate Change""]",https://portal.e-lfh.org.uk/Component/Details/752711,"[""Course""]",Approved,
195,All Our Health: Childhood Obesity,"All Our Health: Childhood Obesity
This is a bite-sized session to give health and care professionals an overview of childhood obesity - including key evidence, data and signposting to trusted resources to help prevent illness, protect health and promote wellbeing.
Wellbeing, child health, child obesity, childhood obesity, child weight, child, childhood, children, young people, family, obese, obesity, overweight, weight, growth, healthy weight, healthier weight, lifestyle, inactivity, physical activity, exercise, nutrition, food, BMI, BMI centile, growth chart, communities, front-line, frontline Health, healthcare, patients, professional, practitioner, National Child Measurement Programme",eLfH,Online,0,Free,>1 hour,Less than an hour,Register for an eLfH account,Not Applicable,"[""All""]","[""Health Prevention"", ""Health Promotion""]","[""Childhood Obesity""]",https://portal.e-lfh.org.uk/Component/Details/587409,"[""Course""]",Approved,
196,All Our Health: Child Oral Health,"All Our Health: Child Oral Health
This is a bite-sized session to give health and care professionals an overview of child oral health - including key evidence, data and signposting to trusted resources to help prevent illness, protect health and promote wellbeing.
Oral health, child oral health, oral health promotion, dentist, healthy mouth, tooth decay, dental decay, tooth extraction, dental pain, dental infection, sugar, prevention, tooth brushing, fluoride, toothpaste, fluoride, water fluoridation",eLfH,Online,0,Free,>1 hour,Less than an hour,Register for an eLfH account,Not Applicable,"[""All""]","[""Health Prevention"", ""Health Promotion""]","[""Child Oral Health""]",https://portal.e-lfh.org.uk/Component/Details/587510,"[""Course""]",Approved,
197,All Our Health: Cardiovascular Disease Prevention,"This is a bite-sized session to give health and care professionals an overview of cardiovascular disease - including key evidence, data and signposting to trusted resources to help prevent illness, protect health and promote wellbeing.
Intervention, health, professional, staff, cardiovascular disease, CVD, heart disease, heart attack, high blood pressure, atrial fibrillation, stroke, dementia, cholesterol, blood pressure, health check, obesity, diet, exercise, alcohol, physical activity, smoking, heart attacks, ambitions, BP, hyperlipidaemia, dyslipidaemia, hypertension",eLfH,Online,0,Free,>1 hour,Less than an hour,Register for an eLfH account,Not Applicable,"[""All""]","[""Health Promotion"", ""Health Protection""]","[""Cardiovascular""]",https://portal.e-lfh.org.uk/Component/Details/630212,"[""Course""]",Approved,
198,All Our Health: Best Start in Life,"All Our Health: Best Start in Life
This is a bite-sized session to give health and care professionals an overview of the best start in life - including key evidence, data and signposting to trusted resources to help prevent illness, protect health and promote wellbeing.
Intervention, health, professional, staff, life course, children, child, newborn, infant, early years, breastfeeding, family, families, parent, preconception, conception, speech, language, pregnancy, birth, postnatal depression, maternal mental health, healthy child programme, best start in life, antenatal, health visitor, father’s, early help",eLfH,Online,0,Free,>1 hour,Less than an hour,Register for an eLfH account,Not Applicable,"[""All""]","[""Health Prevention"", ""Health Promotion""]","[""Antenatal""]",https://portal.e-lfh.org.uk/Component/Details/571272,"[""Course""]",Approved,
199,Alcohol- Information and Brief Advice for Adults,"Alcohol- Information and Brief Advice for Adults

To build participants confidence and skills in delivering alcohol brief interventions

Objectives:


To review participants’ alcohol knowledge
To identify/screen service user’s alcohol use &amp; the level of associated risk
Be able to give simple brief advice using evidence-based practice
Understand how Forward Leeds responds to alcohol use/misuse &amp; how to make referrals

Inclusion Health, Alcohol and/or Drugs",Forward Leeds,Face to Face,0,Free,NA,Less than a day,Register on website,Not Applicable,"[""All""]","[""Health Inclusion Groups""]","[""Alcohol and/or Drugs""]",https://www.forwardleeds.co.uk/get-help/training/alcohol-identification-and-brief-advice-for-adults/,"[""Course""]",Approved,
200,Alcohol and Later Life,"Alcohol and Later Life

Aim:
To build participants’ knowledge and skills around supporting older people who may be drinking too much
Objectives:

Discuss information about alcohol’s effects and risks in relation to older people.
Define alcohol units and recommended limits.
Introduce early and late-onset drinking.
Discuss barriers to support
Discuss harm reduction techniques and how older people may be able to implement them into their lives.
Understand the use of simple brief interventions applying the FRAMES model.
To increase awareness of the types of support that individuals and their families can access in Leeds

Inclusion Health, Frailty",Forward Leeds,Online,0,Free,3 hours,Less than a day,Register on website,Not Applicable,"[""All""]","[""Health Inclusion Groups""]","[""Alcohol and/or Drugs"", ""Frailty""]",https://www.forwardleeds.co.uk/get-help/training/alcohol-and-older-people/,"[""Course""]",Approved,
201,Alcohol and its Social Impact,"Alcohol and its Social Impact

Aim: To explore a range of social issues that contribute to the government spending of 21 billion a year to alcohol related issues in the U.K.
Objectives:
By the end of this training session, participants will be able to:

Examine the complex relationship between alcohol consumption and domestic abuse/interpersonal violence.
Analyse a sociological model that explores external and environmental factors contributing to violent crimes and alcohol use.
Compare different areas in Leeds to understand geographical influences on domestic violence statistics.
Identify key characteristics of both victims and perpetrators, and explain the role of alcohol in their interactions.
Assess the impact of domestic violence and alcohol misuse on children within affected families.

Inclusion Health, Alcohol and/or Drugs",Forward Leeds,Face to Face,0,Free,3 hours,Less than a day,Register on website,Not Applicable,"[""All""]","[""Health Inclusion Groups""]","[""Alcohol and/or Drugs""]",https://www.forwardleeds.co.uk/get-help/training/alcohol-and-its-impact-on-society/,"[""Course""]",Approved,
